user_id,name,email,age
00234e50-34eb-4ce2-94ec-26e3fa749796,Dan Altenwerth Jr.,Molly59@gmail.com,67
006bfede-724d-4cdd-a2a6-59700f40d0da,Glenda Wisozk,Miriam21@gmail.com,119
006e1f7f-90c2-45ad-8c1d-1275d594cc88,Daniel Fahey IV,Delia.Lesch11@hotmail.com,49
00af05c9-0a86-419e-8c2d-5fb7e899ae1c,Ronnie Bechtelar,Sandra19@yahoo.com,22
00cc08cc-62f4-4da1-b8e4-f5d9ef5dbbd4,Alma Bechtelar,Shelly_Balistreri22@hotmail.com,102
01234567-89ab-cdef-0123-456789abcdef,John Smith,john.smith@email.com,35
98765432-1fed-cba0-9876-543210fedcba,Jane Doe,jane.doe@example.com,28
a1b2c3d4-e5f6-7890-1234-567890abcdef,Alice Johnson,alice.j@domain.com,42
f0e1d2c3-b4a5-9687-5432-109876543210,Bob Wilson,bob.wilson@test.com,31
11111111-2222-3333-4444-555555555555,Carol Brown,carol.brown@mail.com,25
